,id,question,A,B,C,D,answer
1760,Mercury_SC_401660,"When Isaac Newton theorized that gravity caused objects to fall to the ground, he had also discovered the force that causes",chemicals to react.,volcanoes to erupt.,lightning to strike Earth.,the planets to orbit the Sun.,D
1761,Mercury_7211575,A disorder is associated with certain flaws in the human respiratory system. Which is most likely a typical symptom of this disorder?,poor vision,difficulty breathing,reduced muscle mass,increased saliva production,B
1762,Mercury_7251073,Which of these is the main contributor to the formation of hurricanes?,high barometric pressure,warm ocean air,calm ocean surface,dense surface air,B
1763,AKDE&ED_2008_8_37,Which statement correctly describes why there are fewer than 24 hours of daylight in Alaska during each day in April?,Earth’s rotation slows during the day.,Earth’s rotation slows during the night.,Earth’s rotation causes both day and night.,Earth’s tilt on its axis causes both day and night.,C
1764,Mercury_7269045,What best describes objects orbiting in the Kuiper Belt?,metallic,rocky,hot,icy,D
1765,Mercury_SC_401651,Coal was made from the remains of which ancient ecosystem?,rocky islands,fertile valleys,green swamps,fast-flowing rivers,C
1766,Mercury_7086083,Which of these describes a location where minerals are most likely to form?,cooled magma from a volcano,eroded sediment from a riverbed,weathered rock from a canyon,saturated soil from a floodplain,A
1767,Mercury_SC_401674,"In 1971, the bones of an extinct flying dinosaur were discovered. This kind of discovery helps everyone learn more about",impact of humans on Earth.,effect of gravity on animals.,history of animal species on Earth.,likelihood that dinosaurs will reappear.,C
1768,Mercury_7008295,Which could be a possible way to prevent wildlife species from becoming endangered?,drinking less water,establishing more habitats,cutting down more forests,stopping underground coal mining,B
1769,Mercury_7026233,The chemical reaction of ethane and oxygen produces carbon dioxide and water. Which is the best form to identify reactants and products of the reaction?,a table,a graph,a diagram,an equation,D
1770,Mercury_404796,Rheumatoid arthritis is a disease that occurs when the body attacks its own tissues. Which body system becomes disordered first?,immune,nervous,digestive,circulatory,A
1771,Mercury_7236040,Variation in which property between water at different temperatures contributes most to the formation of horizontal ocean layers having distinct temperatures?,density,viscosity,turbidity,acidity,A
1772,MEA_2010_8_16-v1,Which event would most likely cause a rapid extinction of organisms?,a large asteroid impact,regional drought,new glacier formation,a decrease in the growth of weeds,A
1773,Mercury_SC_409556,"When an octopus feels threatened, it can release black ink into the water. The ink MOST likely helps the octopus",move quickly through the water.,breathe oxygen from the water.,hide from predators.,use food faster.,C
1774,NCEOGA_2013_8_34,Which is a way the agricultural biotechnology industry could have a positive impact on the environment?,by producing crops that are virus resistant,by making robots to replace large farm machines,by reducing the need for countries to import food,by increasing the use of wind farms that produce electricity,C
1775,Mercury_7084070,The following statements are from an article in a fitness magazine. Which of these is an opinion?,Exercise increases muscle mass.,Regular exercise reduces resting heart rate.,People should exercise because it makes them feel better.,Those who exercise regularly can increase their life span.,C
1776,Mercury_SC_415729,Which pair of items will repel each other?,a positively-charged wool sock and a neutral plastic bag,a neutral cotton sweater and a negatively-charged plastic pellet,a negatively-charged balloon and a positively-charged piece of paper,a negatively-charged plastic strip and a negatively-charged piece of cloth,D
1777,NAEP_2005_8_S13+2,"In your body, what two organs work together to make sure that oxygen gets to all the other organs of your body?",Lungs and kidneys,Heart and lungs,Brain and kidneys,Heart and liver,B
1778,Mercury_7166635,"Each organ in the digestive system has a specific function. During digestion, food passes from the stomach into the small intestine. Which statement best describes what takes place in the small intestine?",Nutrients are absorbed from the food.,Wastes are prepared to pass out of the body.,Food is churned with acid to break down proteins.,Excess water is reabsorbed into the blood stream.,A
1779,Mercury_417467,Which structure is found in producers in nearly all ecosystems?,stems,leaves,rhizomes,chloroplasts,D
1780,NCEOGA_2013_8_58,"A strawberry farmer finds that, after a hard freeze, some of his strawberries are still alive. Which best explains why these strawberries were able to survive?",They have larger leaves to protect the fruit than the other strawberries.,They have different genetic variations that cause them to be more resistant to cold temperatures.,They are able to reproduce more quickly than the other strawberries.,"The color of the strawberries is darker, and they maintain their temperature better than other strawberries.",B
1781,MEA_2013_5_14,Which event would most likely result in more food for organisms that are scavengers?,Fish die and sink to the bottom of a pond.,Trees take up and store water with roots.,Beavers build a new dam and lodge.,Plants get more sunshine and water.,A
1782,NAEP_2000_4_S12+7,"When you are riding a bicycle at night, your bicycle's reflectors help people in cars see your bicycle. How do bicycle reflectors work?",They are made of a special material that gives off its own light.,They are hooked up to batteries that allow them to produce light.,They bounce light back from other sources.,They are covered with paint that glows in the dark.,C
1783,AKDE&ED_2008_4_45,"From Earth, the Sun appears brighter than any other star because the Sun is the",newest star.,largest star.,hottest star.,closest star.,D
1784,OHAT_2010_5_1,Scientists found fish fossils in the desert. What do the fossils tell about this environment when the fish were alive?,There was a forest with large trees.,There were lakes with water plants.,There were mountains with glaciers.,There was a desert with large rocks.,B
1785,Mercury_7107503,Chinese and European societies can use different but effective technologies when addressing medical questions. What does this demonstrate?,Varied approaches can yield successful technologies.,Not all technologies behave according to scientific laws.,The development of science and technology are independent.,Technology results more from practice than from scientific knowledge.,A
1786,Mercury_7133595,"The exotic plant Melaleuca, or Australian Pine, has increased the intensity of fires across the Everglades. The amount of fuel available for fires has increased due to the presence of the Melaleuca. The Melaleuca releases massive numbers of seeds in response to fire, drought, and herbicide damage. Which best describes the reason the Melaleuca has been able to survive?",adaptation,competition,diversification,mutation,A
